R,Team,Left Side,Attempts from the middle,Right Side
1,Bordeaux,27%,57%,16%
2,Marseille,23%,61%,16%
3,Sochaux,22%,62%,16%
4,Monaco,22%,59%,19%
5,Nancy,20%,63%,17%
6,Saint-Etienne,20%,62%,18%
7,Lorient,20%,61%,19%
8,Lyon,20%,60%,20%
9,Lens,20%,64%,16%
10,Paris Saint-Germain,20%,62%,18%
11,Brest,20%,63%,17%
12,Rennes,19%,61%,20%
13,Nice,19%,59%,22%
14,Arles-Avignon,19%,65%,15%
15,Montpellier,18%,65%,17%
16,Lille,18%,64%,18%
17,Toulouse,17%,63%,20%
18,Auxerre,17%,62%,21%
19,Valenciennes,17%,59%,24%
20,Caen,12%,68%,20%
