R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Nancy,8%,52%,40%
2,Bordeaux,8%,54%,38%
3,Sochaux,7%,43%,50%
4,Lyon,7%,48%,46%
5,Lens,7%,43%,50%
6,Caen,7%,50%,43%
7,Arles-Avignon,7%,55%,38%
8,Saint-Etienne,6%,42%,52%
9,Toulouse,6%,49%,45%
10,Montpellier,6%,46%,48%
11,Rennes,5%,49%,46%
12,Monaco,5%,48%,47%
13,Auxerre,5%,45%,50%
14,Marseille,5%,48%,47%
15,Valenciennes,5%,47%,47%
16,Lille,5%,42%,54%
17,Nice,5%,42%,53%
18,Brest,5%,45%,50%
19,Lorient,4%,47%,49%
20,Paris Saint-Germain,4%,39%,57%
