Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Lille,14.8,5.1,9.2,16.3,6.91
2. Marseille,15,5.3,8.4,15.2,6.90
3. Nancy,14.2,4.7,7.7,15.8,6.88
4. Sochaux,11.8,4.7,7.9,13.9,6.88
5. Caen,10.9,3.5,6.6,15.5,6.84
6. Brest,12,3.8,6.4,15.1,6.84
7. Lorient,12,4.3,7.4,16.3,6.83
8. Paris Saint-Germain,14.7,5.4,5.4,14.6,6.83
9. Rennes,11.3,3.7,7.9,14.3,6.82
10. Bordeaux,13.5,4.4,5.4,17.2,6.82
11. Lyon,14.7,4.9,6.9,15.3,6.81
12. Toulouse,9.7,3.5,8.1,14.9,6.79
13. Valenciennes,11.6,4,5,13.8,6.79
14. Auxerre,11.4,3.8,4.9,12.3,6.78
15. Lens,12.3,3.7,7.7,16.8,6.76
16. Saint-Etienne,12.7,4.4,5.1,13.4,6.75
17. Monaco,11.6,3.6,4.1,15.1,6.75
18. Montpellier,13.4,4.3,6.9,17.5,6.74
19. Nice,10.9,3.7,6.8,15.8,6.74
20. Arles-Avignon,9.9,2.6,5.3,14,6.63
