R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Arles-Avignon,46,5,13,6,0
2,Caen,33,4,7,6,1
3,Saint-Etienne,32,0,9,3,3
4,Lens,32,5,15,2,4
5,Nice,32,1,10,5,0
6,Montpellier,30,1,8,1,3
7,Auxerre,29,4,5,2,1
8,Marseille,26,3,7,3,0
9,Brest,25,3,9,4,2
10,Lorient,23,7,14,2,2
11,Paris Saint-Germain,23,4,12,2,0
12,Nancy,21,11,16,0,0
13,Sochaux,21,4,16,1,1
14,Rennes,20,2,9,3,1
15,Bordeaux,20,9,12,1,0
16,Monaco,19,3,12,2,4
17,Lyon,16,5,14,4,1
18,Valenciennes,16,4,16,3,2
19,Lille,16,5,9,4,2
20,Toulouse,14,6,12,2,2
