Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Lille,68,14.8,541,55.5,79.8,11.9,6.91
2. Marseille,62,15,604,52.4,76.9,13.3,6.90
3. Nancy,43,14.2,626,48.5,73.1,12.7,6.88
4. Sochaux,60,11.8,484,50.4,78.2,12.4,6.88
5. Caen,46,10.9,824,46.7,73.3,9.9,6.84
6. Brest,36,12,500,49.1,71.1,12.4,6.84
7. Lorient,46,12,506,53.9,80.2,9,6.83
8. Paris Saint-Germain,56,14.7,594,49.2,76.2,14.6,6.83
9. Rennes,38,11.3,566,52.1,77.6,12.7,6.82
10. Bordeaux,43,13.5,763,53.1,76.5,13.8,6.82
11. Lyon,61,14.7,578,53.9,76.8,12.1,6.81
12. Toulouse,38,9.7,612,50.3,74.1,12.5,6.79
13. Valenciennes,45,11.6,672,49.2,74.1,13.4,6.79
14. Auxerre,45,11.4,730,45.7,73.5,12.5,6.78
15. Lens,35,12.3,543,47.6,72.8,15.6,6.76
16. Saint-Etienne,46,12.7,642,49.5,76.5,10.7,6.75
17. Monaco,36,11.6,754,47.4,72.0,13.1,6.75
18. Montpellier,32,13.4,799,51.9,76.2,10.6,6.74
19. Nice,33,10.9,794,47.6,76.9,9.4,6.74
20. Arles-Avignon,21,9.9,688,46.1,71.1,13.4,6.63
