R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Lorient,23,3,60,434
2,Lille,20,3,64,416
3,Lyon,24,2,61,389
4,Marseille,25,2,54,369
5,Rennes,17,4,58,365
6,Bordeaux,24,2,60,353
7,Paris Saint-Germain,27,2,53,349
8,Montpellier,21,2,55,348
9,Toulouse,20,2,57,346
10,Nancy,21,4,65,340
11,Saint-Etienne,21,2,64,333
12,Valenciennes,24,1,69,330
13,Sochaux,22,2,66,329
14,Nice,18,1,61,317
15,Brest,20,2,53,317
16,Auxerre,21,2,61,314
17,Arles-Avignon,19,2,57,313
18,Monaco,22,2,57,299
19,Caen,24,3,63,292
20,Lens,25,1,64,286
