R,Team,Left Side,Attempts from the middle,Right Side
1,Sochaux,25%,54%,21%
2,Toulouse,24%,58%,17%
3,Rennes,24%,58%,18%
4,Lorient,22%,54%,23%
5,Marseille,22%,65%,13%
6,Valenciennes,22%,60%,18%
7,Saint-Etienne,21%,58%,21%
8,Caen,21%,61%,17%
9,Brest,21%,64%,15%
10,Nancy,20%,64%,17%
11,Montpellier,20%,62%,19%
12,Nice,20%,59%,21%
13,Arles-Avignon,20%,59%,21%
14,Lille,18%,60%,21%
15,Monaco,17%,71%,13%
16,Lens,17%,63%,20%
17,Auxerre,17%,64%,19%
18,Bordeaux,16%,67%,17%
19,Paris Saint-Germain,14%,68%,18%
20,Lyon,12%,68%,20%
