R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Bordeaux,8%,42%,50%
2,Brest,8%,39%,53%
3,Nancy,7%,44%,49%
4,Sochaux,7%,44%,49%
5,Lyon,7%,45%,48%
6,Caen,7%,45%,47%
7,Lille,7%,51%,42%
8,Nice,7%,44%,50%
9,Saint-Etienne,6%,53%,41%
10,Marseille,6%,51%,43%
11,Lens,6%,45%,49%
12,Valenciennes,6%,43%,51%
13,Monaco,5%,48%,47%
14,Paris Saint-Germain,5%,56%,39%
15,Rennes,5%,44%,51%
16,Auxerre,5%,46%,49%
17,Montpellier,5%,45%,50%
18,Lorient,4%,48%,48%
19,Toulouse,3%,54%,43%
20,Arles-Avignon,3%,43%,54%
