Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Lille,14.8,6,1.1,7.7,6.91
2. Marseille,15,6.4,0.9,7.7,6.90
3. Sochaux,11.8,5.7,0.8,5.4,6.88
4. Nancy,14.2,6.4,1,6.8,6.88
5. Brest,12,6.3,0.9,4.9,6.84
6. Caen,10.9,5,0.8,5.2,6.84
7. Paris Saint-Germain,14.7,5.7,0.7,8.3,6.83
8. Lorient,12,5.5,0.5,6.1,6.83
9. Rennes,11.3,5.7,0.6,5.1,6.82
10. Bordeaux,13.5,6.6,1.1,5.9,6.82
11. Lyon,14.7,6.7,1.1,7,6.81
12. Valenciennes,11.6,5.7,0.7,5.2,6.79
13. Toulouse,9.7,4.1,0.3,5.3,6.79
14. Auxerre,11.4,5.3,0.5,5.6,6.78
15. Lens,12.3,5.9,0.8,5.7,6.76
16. Monaco,11.6,5,0.6,6,6.75
17. Saint-Etienne,12.7,5.1,0.7,7,6.75
18. Nice,10.9,5.3,0.7,4.9,6.74
19. Montpellier,13.4,6.4,0.6,6.4,6.74
20. Arles-Avignon,9.9,5.1,0.3,4.6,6.63
