Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Borussia Dortmund,80,16.6,342,53.3,78.8,12.8,7.21
2. Bayern Munich,77,15.7,423,60.3,86.1,10.4,7.17
3. Schalke 04,74,13.7,632,51.3,78.9,13,7.13
4. Borussia M.Gladbach,49,13,491,54.2,80.5,13.4,7.05
5. Werder Bremen,49,14.9,655,50.8,78.7,9.1,7.02
6. Bayer Leverkusen,54,12.9,474,52.1,79.2,14.2,7.01
7. VfB Stuttgart,63,13.9,614,51.7,78.2,11.5,7.00
8. Mainz 05,47,12.6,492,48.9,74.2,11.7,6.90
9. Freiburg,45,12,571,49.0,75.2,11.2,6.85
10. Hamburger SV,35,13.2,642,52.0,78.5,12.5,6.84
11. Wolfsburg,47,12.4,634,45.9,70.9,14,6.82
12. Hoffenheim,41,13.4,703,50.0,77.8,10.7,6.82
13. Augsburg,36,11.4,672,45.1,72.3,11.8,6.82
14. Hannover 96,41,12.2,643,48.9,73.8,12.7,6.80
15. Nuernberg,38,12.6,722,46.9,72.5,13.2,6.79
16. Hertha Berlin,38,11.1,648,45.9,75.3,11.2,6.78
17. Kaiserslautern,24,12.6,694,48.2,75.1,13.1,6.64
18. FC Koln,39,8.9,676,45.6,75.0,9.5,6.64
