R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Hertha Berlin,20,2,67,434
2,FC Koln,25,2,73,419
3,Augsburg,18,2,66,417
4,Wolfsburg,18,3,76,394
5,Nuernberg,18,2,69,371
6,Kaiserslautern,19,2,73,369
7,Borussia M.Gladbach,23,2,68,366
8,Hoffenheim,17,2,73,365
9,Schalke 04,18,2,64,362
10,Hannover 96,20,3,74,361
11,Freiburg,19,2,74,360
12,Bayer Leverkusen,21,2,73,354
13,Mainz 05,22,1,74,354
14,Werder Bremen,19,3,74,353
15,VfB Stuttgart,20,2,64,336
16,Hamburger SV,18,2,63,332
17,Borussia Dortmund,16,2,70,331
18,Bayern Munich,13,1,58,284
