R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bayern Munich,22,3,88,522
2,Borussia M.Gladbach,12,3,80,470
3,Borussia Dortmund,20,2,69,426
4,Bayer Leverkusen,16,1,67,409
5,Werder Bremen,20,2,51,383
6,Schalke 04,21,3,68,380
7,VfB Stuttgart,20,2,68,369
8,Hoffenheim,19,2,71,361
9,Hamburger SV,21,2,77,354
10,Hannover 96,20,2,65,352
11,Kaiserslautern,19,1,74,333
12,Freiburg,19,3,66,333
13,Hertha Berlin,17,2,70,331
14,FC Koln,13,2,64,330
15,Mainz 05,18,2,70,321
16,Augsburg,18,2,69,300
17,Nuernberg,23,1,68,296
18,Wolfsburg,25,2,69,295
