R,Team,Left Side,Attempts from the middle,Right Side
1,Hannover 96,26%,54%,20%
2,Hoffenheim,24%,61%,15%
3,Borussia M.Gladbach,23%,56%,21%
4,Bayer Leverkusen,22%,54%,24%
5,Bayern Munich,21%,63%,17%
6,Freiburg,21%,64%,15%
7,Werder Bremen,21%,61%,19%
8,Hamburger SV,20%,64%,16%
9,Schalke 04,20%,62%,19%
10,Kaiserslautern,20%,63%,17%
11,FC Koln,20%,61%,18%
12,VfB Stuttgart,19%,61%,19%
13,Nuernberg,19%,65%,16%
14,Augsburg,19%,60%,21%
15,Borussia Dortmund,17%,62%,21%
16,Mainz 05,17%,65%,18%
17,Wolfsburg,15%,65%,20%
18,Hertha Berlin,14%,70%,15%
