Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Juventus,68,19.2,694,58.1,85.4,10.1,7.15
2. AC Milan,72,15.8,764,57.0,84.2,10.4,7.06
3. Udinese,52,13.8,824,50.5,78.5,11.7,7.01
4. Napoli,66,13.8,775,52.6,80.3,9.8,6.98
5. Inter,57,15.8,614,52.9,82.7,9.8,6.97
6. Lazio,56,13.2,759,49.3,79.3,12,6.92
7. Parma Calcio 1913,54,13.7,802,47.9,76.8,12.4,6.91
8. Roma,60,16.3,7910,57.5,84.6,9.5,6.91
9. Bologna,41,11.8,984,47.3,75.1,11,6.90
10. Fiorentina,37,13.4,923,48.9,78.2,12.4,6.90
11. Cagliari,37,12.7,792,50.2,79.8,12.8,6.90
12. Catania,47,14.5,776,48.3,78.9,10.7,6.90
13. Chievo,35,11.5,822,47.4,73.3,14.2,6.88
14. Lecce,40,11.4,1059,48.7,80.0,10.9,6.86
15. Atalanta,41,10.9,974,49.4,78.5,11.7,6.84
16. Robur Siena,45,10.3,952,46.1,77.5,11.5,6.84
17. Genoa,50,11.5,8711,48.2,76.2,12.2,6.82
18. Palermo FC,52,13.1,846,47.7,77.6,11.3,6.81
19. Novara,35,12.4,776,46.7,75.8,14,6.79
20. Cesena,24,12.1,9610,45.4,77.7,13.4,6.74
