R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Juventus,28,7,57,495
2,AC Milan,23,7,77,476
3,Roma,21,7,68,460
4,Inter,24,5,61,404
5,Udinese,21,6,63,381
6,Napoli,24,7,71,367
7,Fiorentina,25,4,59,364
8,Cagliari,23,3,59,355
9,Lazio,26,4,65,353
10,Catania,24,6,60,346
11,Lecce,19,5,74,343
12,Genoa,23,5,63,343
13,Atalanta,27,4,60,343
14,Palermo FC,20,4,60,341
15,Robur Siena,20,4,60,331
16,Parma Calcio 1913,23,5,66,320
17,Novara,28,3,54,320
18,Bologna,19,6,56,311
19,Chievo,20,4,68,307
20,Cesena,21,3,70,300
