R,Team,Fouls,Unprofessional,Dive,Other
1,Lecce,86,4,4,24
2,Atalanta,75,5,1,22
3,Cesena,73,9,3,26
4,Genoa,69,7,2,24
5,AC Milan,68,5,1,8
6,Chievo,66,3,1,15
7,Udinese,64,4,2,19
8,Bologna,62,18,2,20
9,Roma,61,7,1,21
10,Robur Siena,61,10,4,24
11,Palermo FC,60,11,3,19
12,Parma Calcio 1913,59,1,2,22
13,Novara,59,8,1,17
14,Lazio,58,2,2,25
15,Napoli,55,9,2,17
16,Fiorentina,53,12,1,30
17,Juventus,53,5,2,15
18,Catania,53,5,3,25
19,Cagliari,52,10,1,20
20,Inter,45,5,2,15
