R,Team,Own Third,Middle Third,Opposition Third
1,Cesena,31%,43%,26%
2,Lecce,29%,47%,25%
3,Atalanta,29%,44%,27%
4,Robur Siena,29%,46%,25%
5,Bologna,28%,47%,25%
6,Chievo,28%,46%,25%
7,Palermo FC,28%,45%,27%
8,Genoa,28%,45%,27%
9,Catania,28%,44%,28%
10,Novara,28%,44%,27%
11,Fiorentina,27%,46%,27%
12,Udinese,27%,48%,26%
13,Cagliari,26%,49%,25%
14,Lazio,26%,47%,27%
15,Napoli,26%,46%,27%
16,Parma Calcio 1913,26%,46%,27%
17,Inter,25%,46%,29%
18,AC Milan,25%,45%,30%
19,Juventus,24%,45%,31%
20,Roma,24%,46%,29%
