R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Robur Siena,8%,47%,46%
2,Napoli,7%,48%,45%
3,Parma Calcio 1913,6%,47%,48%
4,AC Milan,6%,48%,46%
5,Genoa,6%,44%,49%
6,Atalanta,6%,51%,43%
7,Cagliari,5%,44%,51%
8,Lecce,5%,49%,46%
9,Juventus,5%,50%,45%
10,Udinese,5%,47%,48%
11,Novara,5%,44%,51%
12,Chievo,5%,50%,45%
13,Bologna,4%,42%,54%
14,Fiorentina,4%,42%,54%
15,Inter,4%,44%,52%
16,Lazio,4%,52%,44%
17,Roma,4%,44%,52%
18,Palermo FC,4%,43%,52%
19,Catania,4%,46%,50%
20,Cesena,3%,38%,60%
