R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Robur Siena,26,4,76,421
2,Cesena,29,6,69,415
3,Lecce,23,6,61,392
4,Palermo FC,25,6,64,388
5,Fiorentina,24,5,68,385
6,Parma Calcio 1913,23,4,63,384
7,Novara,26,6,70,384
8,Catania,24,6,64,379
9,Chievo,26,5,68,377
10,Bologna,23,5,61,376
11,Genoa,25,5,63,376
12,Udinese,20,5,58,369
13,Lazio,21,5,66,363
14,Atalanta,24,5,60,356
15,Cagliari,20,4,65,351
16,Inter,19,5,61,337
17,Napoli,21,4,57,326
18,AC Milan,20,4,56,309
19,Juventus,17,3,62,291
20,Roma,21,6,58,279
