Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Juventus,19.2,6.9,8.3,14.8,7.15
2. AC Milan,15.8,5.9,8.7,11.9,7.06
3. Udinese,13.8,4.6,7.6,14,7.01
4. Napoli,13.8,4.8,9.1,15.6,6.98
5. Inter,15.8,5.1,9.3,13.7,6.97
6. Lazio,13.2,4.7,8.5,14.2,6.92
7. Parma Calcio 1913,13.7,3.9,9.7,13.5,6.91
8. Roma,16.3,5.3,9,14.4,6.91
9. Bologna,11.8,4.1,9.1,17.7,6.90
10. Fiorentina,13.4,4.1,8,13.9,6.90
11. Cagliari,12.7,3.7,8.2,16,6.90
12. Catania,14.5,4.6,8.5,15.8,6.90
13. Chievo,11.5,3.5,6.5,13.6,6.88
14. Lecce,11.4,3.6,10.2,13.9,6.86
15. Atalanta,10.9,3.7,5.6,15.8,6.84
16. Robur Siena,10.3,3.5,5.6,13.8,6.84
17. Genoa,11.5,4.3,7,14,6.82
18. Palermo FC,13.1,4.7,6.8,13.6,6.81
19. Novara,12.4,3.7,5.1,15.7,6.79
20. Cesena,12.1,3.3,6.9,13.6,6.74
