R,Team,Left Side,Attempts from the middle,Right Side
1,AC Milan,26%,57%,17%
2,Roma,23%,57%,20%
3,Fiorentina,22%,59%,19%
4,Lecce,22%,62%,16%
5,Udinese,22%,62%,15%
6,Novara,22%,61%,17%
7,Juventus,21%,60%,19%
8,Robur Siena,21%,63%,16%
9,Palermo FC,21%,59%,20%
10,Chievo,20%,63%,17%
11,Napoli,20%,65%,15%
12,Genoa,20%,62%,18%
13,Inter,19%,59%,22%
14,Atalanta,19%,64%,17%
15,Bologna,18%,65%,18%
16,Cagliari,18%,65%,16%
17,Lazio,18%,64%,18%
18,Catania,18%,64%,18%
19,Cesena,16%,65%,19%
20,Parma Calcio 1913,14%,67%,18%
