R,Team,Fouls,Unprofessional,Dive,Other
1,Bolton,62,6,0,6
2,Stoke,60,3,0,8
3,Newcastle United,59,6,0,15
4,Sunderland,53,2,0,10
5,Aston Villa,53,3,0,17
6,Wolverhampton Wanderers,53,3,0,9
7,Liverpool,52,2,0,12
8,Arsenal,51,4,0,18
9,Manchester City,51,6,0,21
10,Wigan,50,4,0,18
11,Blackburn,49,3,2,17
12,Chelsea,48,2,0,10
13,Everton,48,4,0,10
14,Birmingham,46,6,2,7
15,Manchester United,46,2,2,11
16,West Ham,45,2,0,14
17,West Bromwich Albion,42,6,1,13
18,Fulham,41,1,0,11
19,Blackpool,38,2,0,9
20,Tottenham,34,4,2,13
