R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,West Ham,26,4,67,390
2,Stoke,21,4,72,383
3,Blackburn,28,4,68,376
4,Fulham,22,4,75,369
5,Aston Villa,23,3,65,361
6,Manchester City,24,3,64,359
7,West Bromwich Albion,24,3,68,356
8,Sunderland,24,3,67,350
9,Blackpool,28,5,66,349
10,Birmingham,28,3,72,348
11,Liverpool,22,2,73,347
12,Wigan,24,4,63,344
13,Bolton,25,5,70,337
14,Wolverhampton Wanderers,23,4,67,335
15,Manchester United,22,2,63,334
16,Tottenham,23,4,62,330
17,Everton,20,3,66,329
18,Newcastle United,21,4,65,328
19,Chelsea,18,3,65,308
20,Arsenal,18,3,67,296
