R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Arsenal,24,10,45,492
2,Chelsea,26,7,61,455
3,Manchester United,27,6,68,440
4,Manchester City,20,4,56,425
5,Liverpool,22,4,64,391
6,Tottenham,25,3,75,383
7,Fulham,23,3,64,380
8,Wigan,16,3,68,344
9,Aston Villa,26,3,63,336
10,Blackpool,22,2,80,335
11,Wolverhampton Wanderers,29,2,72,331
12,Everton,27,2,70,325
13,Newcastle United,27,3,66,320
14,West Bromwich Albion,21,3,70,318
15,Sunderland,23,3,69,315
16,Birmingham,21,2,82,302
17,West Ham,21,3,68,299
18,Bolton,22,3,74,273
19,Blackburn,22,1,65,242
20,Stoke,20,2,66,220
