R,Team,Left Side,Middle of the pitch,Right Side
1,Wolverhampton Wanderers,40%,25%,35%
2,Blackburn,40%,31%,30%
3,Tottenham,39%,30%,31%
4,Everton,39%,27%,34%
5,Chelsea,38%,31%,31%
6,Newcastle United,38%,32%,30%
7,West Bromwich Albion,38%,27%,35%
8,Wigan,37%,28%,35%
9,Manchester City,37%,27%,37%
10,Blackpool,36%,32%,32%
11,Aston Villa,35%,27%,38%
12,Birmingham,35%,27%,38%
13,Manchester United,35%,29%,36%
14,West Ham,34%,31%,35%
15,Stoke,34%,32%,34%
16,Bolton,32%,32%,36%
17,Arsenal,31%,34%,35%
18,Sunderland,31%,28%,41%
19,Liverpool,31%,27%,41%
20,Fulham,30%,35%,36%
