Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Chelsea,11.6,20.2,16.2,11.6,3,7.05
2. Manchester United,12.1,18.2,17,11.1,2.7,7.03
3. Arsenal,10.6,20.3,18.7,11.9,2.4,7.02
4. Tottenham,14.9,19.8,17.4,10.5,1.6,6.98
5. Manchester City,13.5,21.7,16.6,12.8,2.7,6.98
6. Liverpool,12.9,23.9,15.6,12.1,2.3,6.90
7. Fulham,14,21,17.6,12.8,2.6,6.90
8. Bolton,15.8,24.7,16.5,13.5,1.5,6.88
9. Sunderland,14.4,21.6,18.3,11.6,2.6,6.83
10. Aston Villa,15.8,22.2,17.6,12.3,2.4,6.82
11. Everton,13.3,20.2,12.4,13.1,2.1,6.81
12. Wigan,13.3,24.1,20.1,13.1,1.9,6.80
13. Newcastle United,13.3,17.5,16,12.4,2.2,6.79
14. West Ham,18.3,20.6,15.3,12.1,3.2,6.76
15. Stoke,14.4,18.8,14,11.6,1.9,6.75
16. Blackburn,16.2,19.7,19.3,13.1,2.3,6.74
17. Blackpool,19.4,20.5,11.9,11.6,2.6,6.73
18. West Bromwich Albion,14,19.1,17.4,11.3,2.7,6.70
19. Birmingham,18.1,17.6,15.1,11.4,2.4,6.68
20. Wolverhampton Wanderers,15,17.8,13.7,12.6,2.4,6.65
