R,Team,Fouls,Unprofessional,Dive,Other
1,Cagliari,87,6,1,24
2,Cesena,85,2,0,22
3,Atalanta,85,3,1,28
4,Lazio,83,4,2,29
5,Inter,83,5,0,15
6,Genoa,83,2,3,24
7,Parma Calcio 1913,80,3,2,28
8,Verona,77,5,3,22
9,Sampdoria,76,10,1,16
10,Roma,76,8,1,26
11,Torino,70,4,1,28
12,Palermo FC,70,6,0,14
13,Udinese,69,4,1,27
14,Chievo,68,4,0,15
15,AC Milan,67,7,2,25
16,Sassuolo,67,9,3,36
17,Fiorentina,62,8,0,17
18,Napoli,58,7,4,19
19,Juventus,55,4,2,19
20,Empoli,51,4,0,10
