Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Juventus,72,15.8,735,55.7,84.8,12.8,7.04
2. Lazio,71,14.5,1049,52.7,80.2,15.7,6.99
3. Inter,59,16.2,955,57.8,84.8,15.8,6.94
4. Roma,54,13.8,1035,57.5,85.0,11.6,6.93
5. Fiorentina,63,16.2,823,55.9,84.3,14,6.92
6. Napoli,70,16.4,786,54.1,83.1,13.9,6.87
7. Genoa,62,12.9,1036,51.2,78.5,12.5,6.86
8. Sampdoria,48,13.2,973,49.0,80.0,12.8,6.84
9. Torino,50,14.4,975,48.8,81.8,12.7,6.81
10. Palermo FC,53,12.6,844,49.0,78.6,14.4,6.81
11. AC Milan,56,11.8,8113,51.2,81.7,12,6.80
12. Sassuolo,49,11.8,1019,47.2,77.0,14.7,6.77
13. Chievo,28,12.1,823,43.6,72.5,15.9,6.76
14. Cagliari,48,13,1096,49.1,79.7,12.8,6.74
15. Empoli,46,13.6,584,51.4,80.2,13.6,6.74
16. Verona,53,12.1,977,44.0,78.4,14.4,6.72
17. Udinese,43,11.2,916,45.2,75.3,15.9,6.71
18. Atalanta,38,12.1,1039,46.2,75.7,15.8,6.70
19. Cesena,36,9.5,1024,45.2,74.9,17.4,6.61
20. Parma Calcio 1913,33,11,1008,45.2,77.7,11.2,6.53
