R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Inter,27,4,49,497
2,Juventus,20,2,57,486
3,Roma,19,2,70,476
4,Napoli,25,2,63,468
5,Fiorentina,25,2,62,450
6,Empoli,19,1,54,435
7,Cagliari,20,2,51,397
8,Lazio,23,1,67,396
9,AC Milan,20,1,71,386
10,Torino,20,1,66,365
11,Genoa,22,1,60,361
12,Palermo FC,22,1,62,360
13,Sampdoria,19,1,67,337
14,Parma Calcio 1913,18,0,68,336
15,Sassuolo,19,1,65,317
16,Atalanta,24,1,67,316
17,Udinese,18,1,70,307
18,Cesena,19,0,70,306
19,Verona,23,1,62,300
20,Chievo,22,1,73,270
