R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Napoli,50,1,10,4,5
2,Juventus,48,3,14,6,1
3,Lazio,45,6,16,3,1
4,Genoa,40,3,10,5,4
5,Inter,38,1,14,5,1
6,Roma,37,1,9,6,1
7,Fiorentina,36,2,21,2,0
8,Udinese,33,0,7,1,2
9,Sassuolo,33,0,7,7,2
10,Verona,31,4,9,4,1
11,AC Milan,31,2,10,11,2
12,Palermo FC,31,5,11,5,1
13,Cagliari,27,2,12,4,3
14,Sampdoria,27,4,13,2,2
15,Torino,26,4,15,3,0
16,Empoli,25,1,14,3,3
17,Cesena,23,1,5,5,2
18,Parma Calcio 1913,19,2,8,2,2
19,Atalanta,18,3,12,4,1
20,Chievo,16,2,8,1,1
