R,Team,Left Side,Attempts from the middle,Right Side
1,Chelsea,24%,63%,14%
2,West Bromwich Albion,24%,59%,17%
3,Arsenal,23%,58%,18%
4,Leicester,22%,61%,17%
5,Aston Villa,22%,66%,12%
6,Everton,21%,63%,16%
7,Southampton,20%,63%,18%
8,Watford,19%,63%,18%
9,Swansea,19%,65%,16%
10,Newcastle United,18%,67%,16%
11,Tottenham,18%,61%,20%
12,Bournemouth,18%,65%,17%
13,Sunderland,17%,65%,17%
14,Stoke,17%,66%,17%
15,Crystal Palace,17%,66%,17%
16,Norwich,17%,67%,16%
17,Manchester City,17%,67%,17%
18,Liverpool,15%,68%,18%
19,West Ham,15%,70%,15%
20,Manchester United,14%,71%,15%
