R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,West Bromwich Albion,23,1,71,440
2,Sunderland,22,2,71,428
3,Aston Villa,21,2,66,420
4,Leicester,27,1,74,408
5,Newcastle United,22,2,65,404
6,Norwich,22,2,72,400
7,Watford,25,2,76,397
8,Crystal Palace,21,1,66,384
9,Everton,23,2,59,382
10,Southampton,20,1,70,375
11,Stoke,21,2,61,374
12,Swansea,22,1,66,372
13,West Ham,21,1,64,369
14,Bournemouth,18,2,76,366
15,Manchester City,17,1,61,348
16,Chelsea,19,1,61,344
17,Arsenal,19,1,64,336
18,Liverpool,17,1,70,325
19,Manchester United,16,1,66,312
20,Tottenham,19,1,72,295
