R,Team,Left Side,Middle of the pitch,Right Side
1,Manchester United,41%,24%,35%
2,Crystal Palace,39%,24%,37%
3,Chelsea,38%,30%,32%
4,Tottenham,38%,29%,33%
5,Watford,38%,30%,32%
6,Stoke,38%,28%,35%
7,Arsenal,37%,30%,33%
8,Aston Villa,37%,28%,35%
9,West Ham,37%,28%,35%
10,Bournemouth,37%,24%,39%
11,Leicester,36%,25%,40%
12,Southampton,35%,30%,34%
13,Manchester City,35%,26%,39%
14,Sunderland,34%,29%,38%
15,Liverpool,34%,30%,37%
16,Norwich,34%,25%,41%
17,Everton,33%,29%,38%
18,Swansea,32%,27%,41%
19,West Bromwich Albion,31%,27%,41%
20,Newcastle United,29%,27%,44%
