R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Manchester City,47,5,14,5,0
2,Arsenal,45,3,13,1,3
3,Tottenham,44,2,17,5,1
4,Liverpool,44,1,15,2,1
5,West Ham,42,2,16,4,1
6,Leicester,41,5,11,10,1
7,Everton,41,3,8,4,3
8,Chelsea,39,1,11,4,4
9,Southampton,38,3,13,3,2
10,Manchester United,34,2,7,3,3
11,Stoke,29,0,6,5,1
12,Newcastle United,28,4,8,3,1
13,Bournemouth,28,0,12,3,2
14,Norwich,27,0,10,1,1
15,Swansea,25,3,8,5,1
16,Sunderland,24,2,15,3,4
17,Watford,23,0,8,6,3
18,Crystal Palace,19,0,15,4,1
19,West Bromwich Albion,19,0,12,1,2
20,Aston Villa,14,1,7,2,3
