Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Arsenal,66,15.1,404,56.9,84.2,15.2,7.08
2. Leicester,68,13.7,483,44.7,70.5,18.8,7.06
3. Tottenham,71,17.3,720,55.3,80.5,14.3,7.01
4. Manchester City,71,16.2,610,55.2,83.1,15.7,7.01
5. West Ham,67,14.7,585,49.1,77.6,17.7,6.92
6. Southampton,57,13.7,576,49.3,77.7,19.3,6.91
7. Liverpool,63,16.6,613,55.0,80.2,16.5,6.91
8. Everton,58,12.9,445,51.5,81.4,12.9,6.88
9. Chelsea,58,13.8,585,54.4,82.5,14.1,6.87
10. Manchester United,47,11.3,651,55.8,82.3,13.1,6.83
11. Watford,40,11.7,733,46.3,72.6,17.4,6.80
12. Sunderland,48,11.6,642,43.3,71.0,17.3,6.76
13. Crystal Palace,40,12.3,602,46.8,74.4,17.8,6.76
14. Swansea,43,11.6,601,52.0,80.9,13.7,6.75
15. Stoke,41,11,514,50.0,79.1,16.4,6.74
16. Newcastle United,44,10.4,605,47.4,76.6,13.9,6.73
17. West Bromwich Albion,32,10.2,653,42.3,70.0,19.1,6.72
18. Bournemouth,45,12.2,531,51.0,79.8,15.3,6.71
19. Aston Villa,27,10,753,47.3,77.8,19.1,6.69
20. Norwich,39,11,613,46.5,73.6,17.4,6.61
