R,Team,Fouls,Unprofessional,Dive,Other
1,Manchester United,57,2,0,8
2,Watford,55,6,0,16
3,Aston Villa,55,7,0,17
4,Tottenham,52,7,0,13
5,Liverpool,52,4,0,11
6,Sunderland,51,2,0,15
7,Southampton,50,1,0,15
8,Newcastle United,49,4,0,13
9,Norwich,49,1,0,15
10,Manchester City,48,0,0,13
11,Crystal Palace,46,2,0,15
12,Swansea,45,3,0,13
13,West Ham,44,5,0,14
14,West Bromwich Albion,44,2,0,22
15,Chelsea,42,8,0,15
16,Leicester,41,2,0,11
17,Bournemouth,39,3,0,12
18,Stoke,36,3,0,17
19,Arsenal,31,4,0,11
20,Everton,31,5,0,16
