R,Team,Left Side,Attempts from the middle,Right Side
1,Manchester United,25%,62%,13%
2,Crystal Palace,22%,60%,18%
3,Tottenham,22%,59%,19%
4,Sunderland,21%,62%,17%
5,Liverpool,21%,63%,16%
6,Aston Villa,21%,64%,15%
7,Everton,20%,67%,13%
8,West Ham,20%,67%,13%
9,Leicester,19%,66%,15%
10,Chelsea,19%,61%,19%
11,Watford,19%,65%,16%
12,Bournemouth,19%,64%,17%
13,Manchester City,19%,64%,17%
14,Stoke,18%,64%,18%
15,Arsenal,16%,70%,14%
16,West Bromwich Albion,16%,66%,18%
17,Swansea,15%,67%,18%
18,Newcastle United,14%,70%,16%
19,Norwich,14%,67%,19%
20,Southampton,13%,71%,16%
