R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Arsenal,20,4,49,513
2,Manchester City,23,2,56,487
3,Chelsea,20,2,62,461
4,Manchester United,21,1,71,461
5,Liverpool,21,2,63,460
6,Tottenham,20,2,68,427
7,Swansea,19,1,65,419
8,Everton,21,2,73,405
9,Bournemouth,20,1,67,394
10,Stoke,18,2,63,371
11,Southampton,25,1,67,355
12,Aston Villa,21,0,67,341
13,Newcastle United,21,1,69,333
14,West Ham,21,1,70,332
15,Norwich,22,0,74,313
16,Watford,19,1,80,308
17,Crystal Palace,26,0,74,293
18,Leicester,20,1,72,282
19,Sunderland,16,2,71,270
20,West Bromwich Albion,23,1,71,255
