R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,West Bromwich Albion,13%,48%,40%
2,Arsenal,9%,63%,28%
3,Leicester,9%,55%,36%
4,Crystal Palace,8%,50%,42%
5,West Ham,8%,51%,41%
6,Southampton,7%,58%,35%
7,Everton,7%,54%,40%
8,Norwich,7%,48%,44%
9,Manchester City,7%,55%,38%
10,Chelsea,6%,54%,39%
11,Sunderland,6%,48%,45%
12,Stoke,6%,46%,48%
13,Tottenham,5%,49%,46%
14,Liverpool,5%,49%,46%
15,Manchester United,5%,51%,45%
16,Newcastle United,5%,60%,35%
17,Aston Villa,4%,49%,47%
18,Watford,4%,49%,46%
19,Bournemouth,4%,50%,47%
20,Swansea,4%,49%,46%
