R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Leicester,9%,52%,39%
2,Aston Villa,8%,56%,37%
3,Norwich,8%,56%,36%
4,Sunderland,7%,52%,42%
5,Newcastle United,7%,50%,43%
6,Everton,7%,53%,40%
7,West Ham,7%,52%,41%
8,Watford,7%,53%,41%
9,Swansea,7%,54%,39%
10,Arsenal,6%,46%,48%
11,Stoke,6%,54%,41%
12,Tottenham,6%,52%,42%
13,Liverpool,6%,51%,43%
14,Manchester United,6%,58%,35%
15,Bournemouth,6%,54%,39%
16,Crystal Palace,6%,47%,48%
17,West Bromwich Albion,6%,47%,46%
18,Manchester City,6%,54%,40%
19,Chelsea,5%,51%,44%
20,Southampton,5%,52%,43%
