R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Barcelona,75,3,15,3,3
2,Real Madrid,60,3,20,8,3
3,Real Sociedad,46,0,14,4,2
4,Real Betis,44,3,7,2,4
5,Atletico Madrid,42,5,6,4,1
6,Celta Vigo,42,3,10,2,2
7,Valencia,41,5,9,8,2
8,Villarreal,40,6,6,4,1
9,Sevilla,34,0,10,4,1
10,Deportivo Alaves,27,3,9,1,0
11,Eibar,27,1,13,2,1
12,Levante,27,2,9,5,1
13,Getafe,25,0,11,5,1
14,Espanyol,25,0,6,2,3
15,Athletic Bilbao,24,0,9,6,2
16,Deportivo La Coruna,24,1,10,3,0
17,Girona,23,2,19,6,0
18,Leganes,18,3,9,2,2
19,Las Palmas,16,0,2,6,0
20,Malaga,11,1,7,4,1
