R,Team,Left Side,Attempts from the middle,Right Side
1,Sevilla,24%,59%,17%
2,Valencia,23%,64%,13%
3,Deportivo Alaves,23%,64%,13%
4,Deportivo La Coruna,21%,60%,19%
5,Malaga,21%,63%,16%
6,Leganes,21%,60%,19%
7,Levante,21%,65%,14%
8,Real Madrid,20%,66%,14%
9,Eibar,20%,64%,15%
10,Barcelona,19%,70%,12%
11,Villarreal,19%,58%,23%
12,Girona,19%,65%,16%
13,Celta Vigo,18%,65%,17%
14,Atletico Madrid,18%,64%,18%
15,Real Betis,17%,64%,19%
16,Getafe,17%,64%,19%
17,Las Palmas,16%,62%,22%
18,Real Sociedad,15%,66%,19%
19,Espanyol,14%,66%,20%
20,Athletic Bilbao,13%,69%,18%
