Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Barcelona,11.7,16.6,11.2,10.1,3.5,7.14
2. Real Madrid,10.4,18.1,11.1,11.4,3.1,7.09
3. Atletico Madrid,11.7,24.1,13.5,14.2,2.8,6.97
4. Valencia,12.8,19.6,12.1,13.6,2.2,6.90
5. Villarreal,13.7,18.7,11.2,15.7,2.9,6.78
6. Real Sociedad,10.2,14.4,11.7,11,2.4,6.76
7. Athletic Bilbao,12.3,19.4,12.3,13.9,2.7,6.75
8. Sevilla,12.4,20.2,10.8,14.8,3.6,6.75
9. Real Betis,12,16.7,11.3,12.2,1.6,6.74
10. Celta Vigo,11.9,15.5,13.1,11.3,2.4,6.74
11. Girona,11.3,16.1,12.9,16.2,2.1,6.73
12. Espanyol,12.8,18.8,13.6,13.7,2,6.71
13. Eibar,8.5,16.9,14.6,12.9,2.2,6.70
14. Deportivo Alaves,14,18.5,13.1,15.9,2.8,6.68
15. Getafe,10.2,18.8,12.8,17.7,2.8,6.67
16. Leganes,11.2,19,15.3,15.6,2.6,6.65
17. Levante,14.2,16.2,12.6,14.6,1.8,6.62
18. Deportivo La Coruna,13.8,19.2,12.7,13.3,2.5,6.61
19. Las Palmas,13.9,17.2,13.4,12.7,2.1,6.54
20. Malaga,12.1,19.6,13.1,16.1,2.3,6.53
