R,Team,Fouls,Unprofessional,Dive,Other
1,Getafe,107,4,0,24
2,Valencia,86,2,0,20
3,Levante,86,5,0,24
4,Malaga,80,6,0,19
5,Villarreal,80,2,0,37
6,Deportivo La Coruna,77,6,0,18
7,Deportivo Alaves,75,8,0,27
8,Leganes,75,1,0,31
9,Girona,74,12,0,19
10,Atletico Madrid,73,11,0,14
11,Las Palmas,69,4,0,18
12,Athletic Bilbao,68,7,0,19
13,Sevilla,67,5,0,28
14,Espanyol,64,1,0,24
15,Real Betis,62,6,0,26
16,Eibar,62,5,0,20
17,Real Madrid,54,4,0,11
18,Celta Vigo,54,7,0,27
19,Real Sociedad,43,4,0,19
20,Barcelona,41,5,0,24
