R,Team,Left Side,Attempts from the middle,Right Side
1,Real Sociedad,23%,63%,14%
2,Atletico Madrid,22%,60%,17%
3,Barcelona,21%,60%,18%
4,Las Palmas,21%,60%,19%
5,Valencia,20%,62%,18%
6,Real Betis,20%,64%,17%
7,Sevilla,20%,64%,16%
8,Girona,20%,64%,16%
9,Real Madrid,19%,62%,18%
10,Deportivo La Coruna,19%,65%,17%
11,Athletic Bilbao,18%,65%,17%
12,Deportivo Alaves,18%,64%,18%
13,Villarreal,18%,68%,14%
14,Leganes,18%,65%,17%
15,Levante,18%,65%,17%
16,Eibar,18%,64%,17%
17,Espanyol,17%,66%,17%
18,Celta Vigo,17%,66%,16%
19,Malaga,17%,65%,19%
20,Getafe,16%,66%,18%
