Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Barcelona,99,15.3,682,60.0,87.3,9.3,7.14
2. Real Madrid,94,18.4,634,57.8,88.3,11.1,7.09
3. Atletico Madrid,58,10.7,905,48.1,80.0,15.2,6.97
4. Valencia,65,12.7,995,49.3,81.2,14.8,6.90
5. Villarreal,57,12.5,1096,50.2,81.6,15.2,6.78
6. Real Sociedad,66,13.7,575,55.1,83.9,13.7,6.76
7. Athletic Bilbao,41,11.3,940,49.4,77.2,19.8,6.75
8. Sevilla,49,13.6,953,53.1,81.9,15.9,6.75
9. Real Betis,60,11,903,55.9,84.7,12.2,6.74
10. Celta Vigo,59,11.8,871,54.4,82.3,15,6.74
11. Girona,50,12,1050,47.5,76.2,17.7,6.73
12. Espanyol,36,10.9,871,47.4,76.1,16.6,6.71
13. Eibar,44,12.4,823,51.2,73.6,20.6,6.70
14. Deportivo Alaves,40,10.3,1024,42.7,72.0,17,6.68
15. Getafe,42,9.8,1265,42.3,65.9,15,6.67
16. Leganes,34,10.4,995,44.6,71.7,18.1,6.65
17. Levante,44,10.8,1066,44.5,74.9,13.2,6.62
18. Deportivo La Coruna,38,12.3,982,47.4,77.8,15.3,6.61
19. Las Palmas,24,10.9,873,53.8,81.9,13.3,6.54
20. Malaga,24,10.6,928,45.3,75.1,16.2,6.53
