R,Team,Left Side,Middle of the pitch,Right Side
1,Sevilla,42%,23%,36%
2,Real Madrid,41%,24%,35%
3,Malaga,41%,21%,38%
4,Girona,41%,22%,36%
5,Deportivo La Coruna,40%,20%,40%
6,Leganes,40%,21%,39%
7,Deportivo Alaves,39%,25%,37%
8,Eibar,39%,21%,40%
9,Levante,39%,22%,38%
10,Atletico Madrid,38%,25%,37%
11,Las Palmas,36%,25%,39%
12,Villarreal,36%,25%,39%
13,Real Sociedad,35%,22%,43%
14,Barcelona,35%,28%,37%
15,Espanyol,35%,23%,42%
16,Celta Vigo,35%,27%,38%
17,Getafe,35%,20%,44%
18,Valencia,34%,28%,38%
19,Real Betis,34%,24%,42%
20,Athletic Bilbao,33%,23%,44%
