Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Barcelona,15.3,7.2,16.3,13.7,7.14
2. Real Madrid,18.4,7.4,13.2,13.6,7.09
3. Atletico Madrid,10.7,4.2,11.2,12.7,6.97
4. Valencia,12.7,4.9,11.2,14.4,6.90
5. Villarreal,12.5,4.4,8.6,12.1,6.78
6. Real Sociedad,13.7,4.4,9.5,14.2,6.76
7. Athletic Bilbao,11.3,4,9.2,12.8,6.75
8. Sevilla,13.6,4.9,10.3,12.9,6.75
9. Real Betis,11,4.3,11.6,12.8,6.74
10. Celta Vigo,11.8,4.3,9.9,14.2,6.74
11. Girona,12,4.1,9.5,13.1,6.73
12. Espanyol,10.9,3.6,8.5,13.9,6.71
13. Eibar,12.4,3.6,9.3,11.4,6.70
14. Deportivo Alaves,10.3,3.6,8.7,13.7,6.68
15. Getafe,9.8,3.5,7.8,13,6.67
16. Leganes,10.4,3.4,8.9,13.2,6.65
17. Levante,10.8,3.3,9.8,11.7,6.62
18. Deportivo La Coruna,12.3,3.7,9.9,11.5,6.61
19. Las Palmas,10.9,3.3,11.8,17.5,6.54
20. Malaga,10.6,3,8.1,11.6,6.53
