Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Barcelona,15.3,5.1,1.5,8.7,7.14
2. Real Madrid,18.4,5.8,1.3,11.2,7.09
3. Atletico Madrid,10.7,4.2,0.6,5.9,6.97
4. Valencia,12.7,5.3,0.9,6.5,6.90
5. Villarreal,12.5,5.2,0.6,6.7,6.78
6. Real Sociedad,13.7,5.4,0.9,7.4,6.76
7. Sevilla,13.6,4.7,0.9,7.9,6.75
8. Athletic Bilbao,11.3,3.1,1,7.2,6.75
9. Real Betis,11,4.8,0.7,5.5,6.74
10. Celta Vigo,11.8,4.4,1.1,6.3,6.74
11. Girona,12,4.6,1,6.4,6.73
12. Espanyol,10.9,4.2,0.7,5.9,6.71
13. Eibar,12.4,4.9,0.8,6.6,6.70
14. Deportivo Alaves,10.3,4.4,0.5,5.5,6.68
15. Getafe,9.8,3.7,0.8,5.3,6.67
16. Leganes,10.4,4.2,0.7,5.6,6.65
17. Levante,10.8,4.4,0.6,5.8,6.62
18. Deportivo La Coruna,12.3,4.3,1.3,6.6,6.61
19. Las Palmas,10.9,5,0.5,5.4,6.54
20. Malaga,10.6,3.9,0.6,6.1,6.53
