R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Chievo,49,5,17,2,2
2,Frosinone,47,3,13,5,1
3,Bologna,44,1,6,4,1
4,Empoli,42,7,13,6,2
5,Sassuolo,36,5,13,4,2
6,Genoa,35,3,12,5,2
7,Parma Calcio 1913,35,2,11,8,5
8,SPAL 2013,34,3,14,5,0
9,Cagliari,33,3,8,8,2
10,Udinese,33,1,9,9,1
11,Roma,33,3,7,4,1
12,Fiorentina,27,1,9,5,3
13,Sampdoria,27,4,12,7,1
14,Atalanta,27,1,11,4,3
15,Lazio,26,2,10,5,3
16,Napoli,23,1,8,4,0
17,Torino,22,4,8,3,0
18,AC Milan,22,2,7,4,1
19,Inter,19,0,8,3,3
20,Juventus,19,2,6,2,1
