R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Chievo,10%,50%,40%
2,Torino,8%,54%,38%
3,Empoli,8%,52%,40%
4,Sampdoria,8%,52%,40%
5,Cagliari,7%,60%,33%
6,Atalanta,7%,52%,41%
7,Genoa,7%,52%,42%
8,SPAL 2013,7%,49%,44%
9,Frosinone,7%,49%,45%
10,Bologna,6%,51%,43%
11,Inter,6%,52%,42%
12,Lazio,6%,49%,45%
13,Fiorentina,6%,50%,44%
14,Napoli,6%,52%,42%
15,Udinese,6%,53%,41%
16,Roma,6%,48%,45%
17,Parma Calcio 1913,6%,53%,41%
18,Sassuolo,6%,60%,34%
19,AC Milan,5%,54%,42%
20,Juventus,5%,43%,52%
