R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Frosinone,21,1,57,492
2,Parma Calcio 1913,29,1,54,491
3,Chievo,22,1,65,467
4,Udinese,25,1,56,442
5,Genoa,19,1,62,434
6,Empoli,22,1,56,432
7,Bologna,20,1,62,419
8,Lazio,18,1,59,409
9,Cagliari,22,1,64,396
10,Roma,19,2,56,383
11,AC Milan,20,1,53,381
12,SPAL 2013,19,1,56,372
13,Napoli,16,1,58,365
14,Juventus,17,0,52,364
15,Sassuolo,21,1,53,361
16,Fiorentina,20,1,57,350
17,Sampdoria,20,1,67,347
18,Atalanta,15,1,61,334
19,Torino,20,1,60,324
20,Inter,17,1,57,324
