Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Juventus,70,16,744,54.9,86.2,14.7,6.93
2. Napoli,74,18.6,705,56.8,87.3,10.7,6.91
3. Atalanta,77,16.9,613,55.7,84.0,16.8,6.90
4. Roma,66,16.4,862,51.0,82.4,19.8,6.86
5. Torino,52,13.7,874,51.0,78.2,22.5,6.83
6. Inter,57,16.7,713,56.9,86.3,14.2,6.82
7. AC Milan,55,15.4,785,53.4,85.6,13.4,6.82
8. Lazio,56,16.1,884,50.5,82.3,16.8,6.80
9. Sampdoria,60,12.8,873,53.7,83.2,13.1,6.74
10. Fiorentina,47,15.4,885,50.4,79.2,17.3,6.71
11. Udinese,39,12.2,884,44.8,77.9,19,6.68
12. Bologna,48,13.2,876,46.2,77.9,20.3,6.67
13. Sassuolo,53,13.5,848,53.1,84.0,12.7,6.66
14. Genoa,39,14,927,44.7,75.1,20.5,6.64
15. SPAL 2013,44,12.2,1113,50.4,82.5,15.7,6.64
16. Cagliari,36,11.5,909,49.4,79.0,23.1,6.62
17. Empoli,51,12,723,48.2,81.5,11.7,6.60
18. Parma Calcio 1913,41,9.3,803,41.0,74.5,15.4,6.59
19. Frosinone,29,12,992,43.1,76.5,17.2,6.51
20. Chievo,25,10.3,1047,44.7,78.1,19.2,6.48
