Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Juventus,16,5.3,9.9,12.3,6.93
2. Napoli,18.6,6.2,8.8,10.9,6.91
3. Atalanta,16.9,5.8,9.6,13.2,6.90
4. Roma,16.4,5.7,9.6,10.4,6.86
5. Torino,13.7,4.8,9,15,6.83
6. Inter,16.7,5.2,7.5,12.8,6.82
7. AC Milan,15.4,5.2,9.1,12.6,6.82
8. Lazio,16.1,5.1,9.1,10.3,6.80
9. Sampdoria,12.8,4.7,7.6,13.4,6.74
10. Fiorentina,15.4,4.7,8.1,13.3,6.71
11. Udinese,12.2,3.4,8.9,12.3,6.68
12. Bologna,13.2,4.3,7.2,13.7,6.67
13. Sassuolo,13.5,4.1,9.4,13.9,6.66
14. Genoa,14,4,7.6,12.7,6.64
15. SPAL 2013,12.2,3.6,7.2,14.5,6.64
16. Cagliari,11.5,3.3,4.7,11.9,6.62
17. Empoli,12,4.1,8.8,11.6,6.60
18. Parma Calcio 1913,9.3,2.9,7.3,11.4,6.59
19. Frosinone,12,3.3,5.6,14.1,6.51
20. Chievo,10.3,3.1,5.3,12.5,6.48
