R,Team,Own Third,Middle Third,Opposition Third
1,Sunderland,33%,44%,24%
2,West Bromwich Albion,31%,43%,26%
3,Everton,30%,44%,27%
4,Swansea,30%,48%,21%
5,Leicester,29%,43%,28%
6,West Ham,29%,43%,29%
7,Queens Park Rangers,29%,43%,27%
8,Hull,29%,46%,26%
9,Crystal Palace,28%,45%,28%
10,Aston Villa,28%,46%,26%
11,Liverpool,28%,45%,27%
12,Stoke,28%,44%,28%
13,Newcastle United,27%,45%,28%
14,Southampton,26%,46%,28%
15,Tottenham,26%,46%,27%
16,Burnley,26%,45%,28%
17,Arsenal,25%,44%,31%
18,Chelsea,25%,45%,31%
19,Manchester United,25%,45%,29%
20,Manchester City,23%,46%,31%
