R,Team,Left Side,Attempts from the middle,Right Side
1,Sunderland,23%,64%,13%
2,Everton,23%,60%,18%
3,Newcastle United,23%,61%,16%
4,Crystal Palace,23%,60%,17%
5,Liverpool,22%,67%,11%
6,Arsenal,21%,66%,13%
7,Chelsea,21%,67%,12%
8,Tottenham,21%,60%,19%
9,West Bromwich Albion,20%,65%,15%
10,Manchester United,19%,66%,15%
11,West Ham,19%,64%,17%
12,Stoke,19%,64%,17%
13,Leicester,18%,63%,19%
14,Queens Park Rangers,17%,68%,16%
15,Hull,17%,70%,13%
16,Aston Villa,16%,67%,16%
17,Manchester City,16%,65%,18%
18,Burnley,14%,74%,12%
19,Southampton,13%,73%,14%
20,Swansea,12%,76%,12%
