R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Queens Park Rangers,44,5,18,2,4
2,Hull,43,1,6,1,0
3,Newcastle United,42,4,12,4,1
4,Aston Villa,41,0,11,4,1
5,Sunderland,40,1,3,4,5
6,Tottenham,37,3,6,5,2
7,Swansea,36,3,7,2,1
8,Burnley,36,0,12,3,2
9,Everton,35,0,9,4,2
10,Leicester,32,1,14,3,5
11,Liverpool,31,0,14,1,2
12,Crystal Palace,30,3,14,4,0
13,West Ham,28,3,12,2,2
14,West Bromwich Albion,27,2,17,5,0
15,Southampton,23,2,6,2,0
16,Stoke,23,3,14,5,0
17,Chelsea,20,1,7,3,1
18,Manchester United,19,2,12,3,1
19,Manchester City,19,2,11,3,3
20,Arsenal,17,3,12,3,1
