R,Team,Left Side,Attempts from the middle,Right Side
1,Aston Villa,23%,63%,14%
2,Sunderland,22%,59%,19%
3,Arsenal,21%,63%,16%
4,Newcastle United,21%,70%,9%
5,Stoke,20%,66%,15%
6,Chelsea,19%,67%,14%
7,Everton,19%,66%,15%
8,Crystal Palace,19%,65%,16%
9,Liverpool,19%,63%,18%
10,Manchester City,19%,64%,17%
11,West Bromwich Albion,19%,67%,14%
12,Leicester,18%,66%,16%
13,Tottenham,18%,67%,15%
14,Queens Park Rangers,18%,65%,17%
15,Burnley,18%,66%,15%
16,Southampton,17%,68%,15%
17,Manchester United,17%,68%,15%
18,West Ham,17%,67%,16%
19,Hull,17%,70%,13%
20,Swansea,16%,70%,14%
