R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Hull,20,1,71,439
2,Crystal Palace,21,1,66,434
3,West Bromwich Albion,23,1,68,432
4,Burnley,24,1,84,422
5,Sunderland,25,1,59,418
6,Swansea,23,1,62,411
7,Leicester,22,2,73,408
8,Aston Villa,23,2,69,399
9,Newcastle United,19,2,67,387
10,Queens Park Rangers,23,2,75,379
11,West Ham,22,1,69,376
12,Southampton,20,1,69,364
13,Chelsea,19,1,63,359
14,Stoke,21,2,65,350
15,Everton,24,1,64,344
16,Arsenal,19,1,67,343
17,Liverpool,19,1,68,340
18,Manchester City,17,2,59,335
19,Tottenham,21,2,73,311
20,Manchester United,16,2,62,293
