R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,West Ham,10%,54%,36%
2,Crystal Palace,10%,52%,38%
3,Stoke,9%,44%,48%
4,West Bromwich Albion,9%,45%,46%
5,Newcastle United,8%,49%,43%
6,Leicester,7%,57%,37%
7,Chelsea,7%,52%,41%
8,Sunderland,7%,45%,48%
9,Manchester United,7%,53%,40%
10,Queens Park Rangers,7%,42%,51%
11,Burnley,7%,51%,41%
12,Arsenal,6%,56%,38%
13,Aston Villa,6%,54%,40%
14,Southampton,6%,56%,38%
15,Tottenham,5%,43%,52%
16,Manchester City,5%,61%,34%
17,Hull,5%,51%,44%
18,Swansea,5%,48%,48%
19,Everton,4%,46%,49%
20,Liverpool,4%,47%,48%
