Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Monaco,9.7,18.5,13.6,12.3,2.2,7.14
2. Paris Saint-Germain,9.1,17.2,13.1,10.7,3.3,7.09
3. Lyon,11.2,19.8,12.6,13.5,2.7,6.96
4. Marseille,11.9,19.2,14.6,13.3,2.7,6.91
5. Nice,13.2,16.7,11.3,11.3,1.9,6.90
6. Bordeaux,12,20.1,13.3,11.6,2.5,6.81
7. Saint-Etienne,12.8,18.6,15.6,12.7,2.4,6.80
8. Montpellier,11.3,16.7,15.1,10.5,1.7,6.77
9. Rennes,10.6,19.6,14.6,12.2,2,6.77
10. Guingamp,12.8,17.1,14.4,13.1,2.6,6.77
11. Dijon,14.6,21.1,16,13,2,6.77
12. Lille,11.5,17.3,14.3,14.1,1.5,6.75
13. Toulouse,12.7,19.6,13.7,15,1.2,6.73
14. Caen,12.4,19.8,17.4,11.5,1.4,6.71
15. Angers,10.7,18,14.2,11.5,1.4,6.71
16. Nantes,11,22.1,13.2,14.2,2.8,6.68
17. Nancy,12.8,20.3,16.6,13.1,3.2,6.66
18. Metz,15.6,18.5,17.3,13.5,2.3,6.66
19. Lorient,12,15.7,14.3,11.7,1.8,6.63
20. SC Bastia,12.9,16.8,15.3,12.1,1.2,6.62
