Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Monaco,14.6,6.4,10.6,11.7,7.14
2. Paris Saint-Germain,15.4,5.9,12.6,10.7,7.09
3. Lyon,15.5,5.6,12.7,13.6,6.96
4. Marseille,12.1,4.3,11.4,9.6,6.91
5. Nice,11.5,4.5,10.6,14.9,6.90
6. Bordeaux,11.8,4.1,9.8,13.1,6.81
7. Saint-Etienne,10.6,3.3,9.8,11.7,6.80
8. Montpellier,13.2,4.2,11.5,11.8,6.77
9. Rennes,11.5,3.9,9.8,11.4,6.77
10. Guingamp,11.7,4.4,8.5,13.1,6.77
11. Dijon,11.3,4.1,9,12.1,6.77
12. Lille,12.8,4.1,11,13.7,6.75
13. Toulouse,10.1,3.5,10.3,12.2,6.73
14. Caen,12.2,3.7,9.2,11.7,6.71
15. Angers,13.9,4.7,8.4,9.9,6.71
16. Nantes,12.1,3.7,8.4,10.2,6.68
17. Nancy,9.9,2.9,7.2,11.9,6.66
18. Metz,9.4,3.1,8.6,11.3,6.66
19. Lorient,11.3,3.9,11.4,10,6.63
20. SC Bastia,10.2,3.2,9.8,13,6.62
