Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Monaco,107,14.6,513,51.5,81.1,15.7,7.14
2. Paris Saint-Germain,83,15.4,523,61.6,89.0,13.6,7.09
3. Lyon,77,15.5,615,56.9,84.1,15.8,6.96
4. Marseille,57,12.1,681,53.5,84.2,12.7,6.91
5. Nice,63,11.5,584,56.9,87.8,11.4,6.90
6. Bordeaux,53,11.8,655,48.8,78.9,14.9,6.81
7. Saint-Etienne,41,10.6,546,49.7,78.7,16.7,6.80
8. Montpellier,48,13.2,455,49.6,79.7,22.6,6.77
9. Rennes,36,11.5,574,51.3,78.9,18.4,6.77
10. Guingamp,46,11.7,574,48.2,78.3,18.8,6.77
11. Dijon,46,11.3,686,47.1,77.4,17.4,6.77
12. Lille,40,12.8,586,51.0,80.8,18.8,6.75
13. Toulouse,37,10.1,884,46.4,71.8,20.3,6.73
14. Caen,36,12.2,592,46.6,75.5,23.1,6.71
15. Angers,40,13.9,585,46.9,77.6,22.8,6.71
16. Nantes,40,12.1,773,48.4,76.1,16.5,6.68
17. Nancy,29,9.9,765,44.9,72.9,17.5,6.66
18. Metz,39,9.4,717,45.1,75.3,17.7,6.66
19. Lorient,44,11.3,685,50.4,81.2,12.1,6.63
20. SC Bastia,29,10.2,6914,45.2,73.5,16.4,6.62
