R,Team,Fouls,Unprofessional,Dive,Other
1,Nancy,69,4,0,9
2,Toulouse,69,6,0,18
3,SC Bastia,67,6,0,17
4,Metz,66,3,0,11
5,Nantes,64,3,0,14
6,Marseille,61,2,0,8
7,Dijon,59,2,0,17
8,Lorient,57,2,0,14
9,Guingamp,55,1,0,8
10,Saint-Etienne,54,1,0,7
11,Lyon,54,2,0,12
12,Angers,51,2,0,11
13,Caen,51,6,0,5
14,Bordeaux,50,5,0,16
15,Nice,48,4,0,11
16,Lille,47,4,0,16
17,Monaco,43,4,0,8
18,Rennes,43,6,0,13
19,Montpellier,41,3,0,7
20,Paris Saint-Germain,38,3,0,15
